property_id,title,property_type,price,amenities,accommodates,bedrooms,bathrooms,minimum_nights,description,notes,house_rules
288359,Inner city terrace house in trendy Newtown,House,$89.00,"{TV,Wifi,Kitchen,Washer,""Smoke detector"",""First aid kit"",""Hair dryer""}",2,1,1.0,3,"Terrace house double room near cafes/restaurants, cinema, shopping mall and parks. Quiet, friendly and safe neighbourhood. Short train or bus trip to city, Sydney University, Bondi/Coogee Beaches and Central Station. Short taxi ride or train to Airport. Good wifi connection. Breakfast with home made muesli. Almost sole use of bathroom next to room. Stay 3 nights or for up to two months. Flexible arrival and departure time with prior agreement. Extra storage for bicycles, surfboards or suitcases. Bright and airy fully equipped home, close to everything you need including cafes, cinema, restaurants, park, city and tourist attractions. The house has two bedrooms (1 for guests), two bathrooms and laundry facilities. Small backyard.  Self help basic breakfast, including home made muesli. Close to trains, buses and all attractions.  Easy walking distance to cafes, restaurant, hotels, gym, swimming pool, cinemas, shops, park and Sydney University.  Lots of local cheap cafes, restaurants and h","There is a wardrobe and drawers for storage in the room and lots of space in the house for luggage, two bicycles or surfboards. Unrestricted parking is only available on one side of the street so it can be tricky as it is on a first come basis.","Main use of the bathroom next to the bedroom. I have a second en suite bathroom upstairs.  Joint use of the kitchen, dining and lounge room.  No smoking, no pets, no children as the house is not childproof for safety."
288671,Warehouse Loft Conversion,Apartment,$220.00,"{Wifi,Kitchen,""Paid parking off premises"",Washer,""Smoke detector"",""First aid kit"",""Self check-in"",Lockbox,""Hot water"",""Coffee maker"",Refrigerator,Dishwasher,Oven,Stove}",2,1,1.0,2,"A true inner city warehouse conversion, what used to be a printing factory is now a sanctuary for plant lovers, chefs, audiophiles and creatives alike. Located in a cull-de-sac lane with street level entry, a shared rooftop with BBQs, views and more. Welcome to Sydney! Beautiful high ceilings with exposed wooden beams and an open plan layout are what make this space unique. It's an airy private loft apartment in a surprisingly quiet laneway in Darlinghurst/East Sydney.  2 minutes walk to Oxford Street, 5 minutes to Hyde park in central Sydney. Not many people live this close to Sydney city centre.  The kitchen is equipped with everything you need. We like to cook!  The loft has plenty of wardrobe space and a cosy setup for sleeping and watching movies. It has a new queen size mattress, fine bamboo sheets, and nice pillows. The living area is spacious and with a vintage sound system and record player with plenty of records for you to flick through. You can also plugin your iPod or devic",Our apartment is a converted warehouse with exposed raw timber ceilings throughout. We have a fancy Blue Air air purifier which does an excellent job of keeping the place as dust free as possible.,"The rooftop is a great spot for an afternoon sundowner or a sunny weekend BBQ. The main key provides access to the roof, there is a bathroom and sink etc up there as well as a big gas BBQ. You'll need to bring your own plates etc and take the cooler bag with some ice packs. Be kind and respectful, its a home not a hotel - most importantly have fun & enjoy!"
290929,STYLISH 2 BED + PARKING PADDINGTON,Apartment,$240.00,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",Elevator,Washer,Dryer,""Smoke detector""}",4,2,1.0,7,"TWO BEDROOM FULLY FURNISHED APARTMENT  WITH UNDERCOVER PARKING  IN PADDINGTON / WOOLLAHRA, SYDNEY AUSTRALIA ** Available for 2 weeks over Christmas / New Year from the 20th December until the 5th January for $AU 3990.  Sorry but I will not be able to accommodate short stays during this period. ** APARTMENT FEATURES:  - Newly, fully renovated two bedroom apartment with double beds and built in wardrobes in both rooms - Sleek, modern, open plan kitchen with dishwasher, miele and blanco appliances, caesarstone benchtop and mirror splashback - New, white tiled bathroom with bathtub  - Modern furniture including white leather couch, white high gloss table, ghost chairs  - Light, bright and private due to the eighth floor position  - Balcony over looking Jersey Road and Woollahra with brand new fold back doors - Undercover car spot with direct lift access - Electricity, water and Foxtel Cable TV included  - Electrical appliances, television, vacuum cleaner, kitchenware, sheets and cleaning p",,"Please enjoy my home, but take care of it as if it were your own.  Thank you.  - I LOVE animals but unfortunately building does not allow them - Feel free to have a dinner party but please keep late night noise to a minimum so as not to disturb the neighbours - Leave the apartment as clean as you found it - No smoking and no candles (my friend just burnt her place down with a candle) - Please let me know if there are any problems so that we can find a solution together"
291782,"BONDI  ROOM IN ARTY HOUSE,  WIFI",House,$70.00,"{TV,Internet,Wifi,Kitchen,""Paid parking off premises"",Cat(s),""Free street parking"",Washer,""Smoke detector"",""First aid kit"",""Hair dryer"",""Hot water""}",1,1,1.0,21,"Furnished  room in BONDI JUNCTION in comfortable, sunny renovated 3 bedroom house with garden,  for 1 pers only The price includes all utilities: internet WIFI ADSL 2.(but not the (URL HIDDEN)  DVD . use a gourmet kitchen, tropical garden. BONDI JUNCTION   FURNISHED ROOM with WIFI Ideal house, short/long term,   INCLUSIVE OF UTILITY COSTS 1  room with a double bed  in fully furnished, well equipped three bedroom house with INTERNET  minutes to BONDI BEACH and Centennial Park 3 minutes to TRAIN, BUSES, SHOPPING CENTRE, GYM. Sydney Central is 12 minutes by train. Included costs are:  gaz, water, electricity, internet WIFI ADSL2. (but no telephone.) Use of TV, DVD player/stereo and VCR Use of laundry.  Sheets and towels available. 2 weeks security deposit The house has a spacious well appointed sitting/tv room, big well equipped kitchen and dining, one main shared bathroom with a toilet and another toilet in the outside laundry. It has polished floorboards throughout, and high ornate ceil",they is construction work going on  accross the street,"• Check-in time is 12PM (noon). • Check-in time is 12PM (noon). In my house we try to save electricity as we have Eco house solar panels on the roof. We sort out our rubbish, and are lucky enough to have a general compost bin in the street. We have a clothes line in the garden to dry the clothes naturally, it dry so quickly in Sydney with the beautiful sunshine. But in general I am realxed and hope to enjoy a cup of tea or a meal in your company from time to time! I know Sydney very well and can help you to find anything at all !"
293951,SUNLIT BONDI HOLIDAY PAD,Apartment,$249.00,"{TV,""Cable TV"",Wifi,Kitchen,Washer,""Smoke detector""}",2,1,1.0,4,"Sunlit unit just 500m from the beach, on first floor overlooking the leafy neighborhood from 2 balconies. Lay in bed looking out to the sky & trees. Just 1 minute to the main hub of Bondi with top restaurants, grocery, wine bars, pubs, chemist etc. Fully furnished 1 bedroom beach pad with 2 sunny balconies,  located on a quiet, leafy street, just 500m walk to beach, 1 min to cafes, restaurants, wine bars, grocery store and pubs. Would suit overseas visitors. It's a 2 bedroom unit so is larger in size, but one bedroom is not available to guests. Spacious sun-lit living area with floorboards, big screen smart tv with cable, 1 x king bed, linen supplied. Bathroom with shower and separate bath. Washing machine/drying racks and dishwasher. Parking available in garage. Balconies perfect for books, afternoon drinks & sunsets. Wi-fi internet included. If you want to explore, bus stops to Bondi Junction and the city are two blocks away, with three routes available.  Walk in & enjoy a holiday -",,"OCCUPANCY: No smoking inside. The residence has a maximum occupancy and restricts events of any nature unless otherwise agreed in writing prior to your arrival. The rent rate is based on a specific number of people in the guest party. NO children under the age of 10. Additional guest(s) may alter the rent rate. CHECK-IN TIME: 3 PM CHECK-OUT TIME: 11 AM MAINTENANCE AND REPAIRS: We make every effort to ensure that all equipment within the residence is in working order. Guest agree that Landlord or its agents may enter the premises for effecting repairs and/or maintenance or for other necessary purposes. We cannot guarantee that the television, appliances, etc. will not break down during your stay and therefore, no refunds or adjustments will be made for mechanical failure. Furthermore, there will be no refunds or adjustments made for any other unexpected situation beyond our control such as but not limited to bugs, rodents, birds, weather, noise, construction, repairs, and the like. FURN"
299749,Beachy Apartment near Manly & 11k to CBD,Apartment,$150.00,"{TV,""Cable TV"",Wifi,Washer,Dryer,""Smoke detector"",""Hair dryer"",""Self check-in"",Lockbox,""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,Oven,Stove,""Cleaning before checkout""}",2,2,1.0,2,"Newly renovated, light & airy Northern Beaches apartment with a leafy outlook. Walking distance to parks, beaches, restaurants & shopping malls. Centrally located on the transport line w/buses to Manly & the city on the doorstep. Charming, comfortable double room, ideal for couples & singles.The perfect location for a business trip where a swim or surf before work is possible and an ideal holiday getaway close to the beach with the convenience of easily seeing all Sydney has to offer. The perfect location to enjoy Summer in Sydney!  Christmas and New Year celebrations in Sydney are not to be missed and this is the ideal location to enjoy all that Sydney has to offer. With high ceilings, sash windows and wooden floor boards this art deco apartment, set among the trees, is the perfect blend of convenience and charm.  Walking distance to several beaches, supermarkets, restaurants and parks. Getting to Manly's cafe scene and busy nightlife is an easy bus trip away.  Buses to the City, Manl",,"No one likes rules, but this is my beloved home so please treat it as if it were your own.  SAND - Please do not bring sand into the house. Living close to the beach this is an occupational hazard. Sand ruins the floor boards and gets into everything. Please rinse sand off at the beach and be sure any towels with sand in them are free of sand before entering the apartment and washed at a Laundromat as sand also ruins washing machines.  Noise - Please respect the neighbours, this is a quiet block. Noise is to be kept to a minimum in common areas and strictly after 10pm. Noise restrictions apply after 10pm in NSW.  No party policy - please do not entertain at home.  Check in/out - Please communicate check in times with me so that I can offer as much assistance as possible."
304835,Darlinghurst Studio: Sky Oasis,Studio,$122.00,"{TV,Internet,Wifi,Kitchen,""Pets allowed"",Elevator,""Free street parking"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Hair dryer"",""Self check-in"",Bathtub,""Window guards"",""Hot water"",""Coffee maker"",Refrigerator,Oven,Stove}",2,1,1.0,1,"Decidedly cool. Chill out in this bright & beautiful Darlinghurst Studio, right in the heart of the best of Victoria St cafe's, back street art galleries, theatres plus chic eateries on Stanley St. Live in Art Deco history with best view in town! Entire home, not shared. This top floor apartment (5th floor, accessible via fully working, brand new quiet lift or easy stairs) with very high ceilings and 1920s heritage art deco features is a space that is full of light all day long with an incredible vista day or night.  Don't stay here if you don't love character with an oldy worldy Parisian loft feel as this studio is filled to the brim with character and charm for those who love original details. Included in the old world charm are old world building sounds like a distant clunking sound when the lift is operated. Older buildings were built so well and the thick walls mean no neighbour sounds, the culdesac street means no traffic noises whilst right in the heart of the restaurant filled","Rates are seasonal and change throughout the year. NYE dates require minimum one week booking. To find the rates and date availability, please go to our home page and click your dates on the top right hand corner. This will also provide rates for dates selected. The studio does not have AC. Installing AC in this studio would be in vain as the studio does not need extra cooling. The studio is on the top floor and has a wonderful cross breeze that all have loved and enjoyed. It also faces east so only gets the morning sun, not the hot afternoon western sun, were it on the other side of the building it would be a different story. The studio has a large ceiling fan if extra cooling is required, but beyond the fan, AC is not needed at all. We are sorry but we do not have the means to check in guests after 11pm.","Standard Terms and Conditions of Temporary Holiday Accommodation Note: Variances can be agreed on but only by arrangement with the owner in writing.  Provided will be: Pillows, Tea Towels, Blankets and Doona’s. Linen for one set will be supplied, if you require further linen, we can arrange a linen hire service that costs up to $75 a delivery. Payment of the rental deposit constitutes the clients acceptance of these Terms and Conditions. We are sorry but we do not have the means to check in guests after 11pm. All bookings made accept these terms. Cancellation, if caused by the client, 50% cancellation policy is not refundable unless the house is re-let for the entire period and only a $50 cancellation fee applies. The owners will make every effort to ensure the property is available as booked. However the owners reserve the right to make alterations to bookings due to unforeseen circumstances. To maintain a good standard for our guests we require certain conditions to be complied with."
304990,Leafy North Shore House in Trees 1,House,$121.00,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",Cat(s),Washer,Dryer,""Smoke detector""}",2,1,1,1,"We have a large family home in leafy East Lindfield on Sydney's North Shore with 2 lovely private B & B double bedrooms available with bathroom facilities.   Each room is comfortable for a couple or single. Not suitable for a roll-away, but we do have 2 rooms available, next to each other. Wi-fi, TV, Foxtel in house, ceiling fans in the rooms. Washing machine and dryer, refrigerator, tea and coffee facilities available for your convenience. Fantastic pool and BBQ area - great place to relax after a hard day sight-seeing or working, particularly in Summer months. Only a short walk to Lindfield Train Station and shops, or the bus to the city is just one block away (We can always drive you to the station if we are around). Chatswood is 2 trains stops away. 20 minutes to the central city by train. 20 minutes to most North-side beaches. Good run through by car to all these spots.  Easy access to North Ryde & Macquarie Uni for business travelers. A great peaceful base for tourists, or a quie",,"Check in 2pm.  Check out 11am - we can be flexible depending on other guests and availability. Please note that Price quoted is per room and we have 2 double rooms to offer. Airbnb only allows one room to be booked on the Calendar system so we have to list them separately as 1 & 2.  Check out my other listing if you want to book them together. We do have a cat, so to avoid pet hassles, would prefer no animals. Ours is a family home, with professionals who have to get up early for work,  so it is not a party house - kindly choose another property if this is what you would like for your holiday. Please only use the pool area if you can swim."
315059,Stylish Home In Great Location,House,$80.00,"{Internet,Wifi,Kitchen,Washer,Dryer,""Smoke detector"",""First aid kit"",""Hair dryer"",""Self check-in"",Lockbox}",2,1,1.0,2,"- At the crossroads of Surry Hills, Paddington and Darlinghurst in a quiet lane - Classic terrace house with recent renovations - Private room with queen futon - Shared bathroom and kitchen, 2 shared living areas - Helpful, but hands-off hosts This is a private room in a recently restored character terrace house in Darlinghurst, Sydney.   The room isn't huge, but it has a queen-sized futon with mattress topper and built-in wardrobes. There's a big window with a nice outlook and blinds, warm bedding, bedside lamp and power points. It is up a narrow flight of stairs with the bathroom downstairs, so if you have a small bladder and a hip replacement, it might get uncomfortable during the night. Bathroom is new and shared with us. There are toiletries here for you. There's wireless internet for your use, a printer for tickets etc, a washer/dryer in the bathroom, a clothesline in the backyard and a dishwasher in the kitchen.  There's a living room in the front, extra sofa in the kitchen and","Thanks for reading our description. If this sounds like what you're looking for, please get in touch. We look forward to meeting you.",- Please lock the front door as you come and go - Read the description quickly before booking
326040,Double room @ beautiful Bondi Beach,Apartment,$125.00,"{Internet,Wifi,Kitchen,""Smoking allowed"",Washer,Dryer}",2,1,1.0,3,"Just 2 blocks from Bondi Beach and less to your morning coffee, this spacious apartment is on the first floor of a ninety-year old character block of four. Accommodation consists of a double bedroom with a really comfortable (everyone tells me:-) queen bed in a 2 bed apartment at the rear of the apartment next to the balcony. The large fully equipped eat in kitchen leads onto a recently completed balcony complete with hammock and another large outdoor dining area shaded by trees. The bathroom has a full size bath. There is a separate lounge room with a long, large luxurious sofa and other reading and lounging chairs. It's the perfect respite from the hot afternoon sun for a nap or reading The interior of the apartment is modern and comfortable while retaining abundant character with ten foot ceilings, designer furniture, beautiful art and other items picked up by the owners on their travels. Plenty of cafes, supermarkets and Bondi's main shopping precinct is less than 5 minutes walk aw",,You will likely be sharing the flat with me. I am pretty much out all day and often in the evenings too. No dinner parties and no more than two guests. No real rules just respectful of each other and let's all have lovely time.  Ask if you need anything. More than happy to help.
338130,Lovely Room in Cozy BEACH Apartment,Apartment,$121.00,"{TV,Wifi,Kitchen,""Free parking on premises"",""Smoke detector""}",1,1,1.0,1,"Room w/views of tranquil park Delicious continental breakfast 5 min to beach Close to Bondi, Bronte and Clovelly beaches Public transport outside my door 30 min from airport and city centre Available for ONE guest only.  No children       Hello from Joana I am your host and invite you to share my stylish Art-Deco apartment in Coogee, New South Wales. Available for ONE guest only.  Sorry, no children. Things to love about this apartment: •     Your room overlooks tranquil park.   •Modern kitchen, and bathroom  •Delicious complimentary continental breakfast. (self serve) •5 Minute walk to Coogee Beach •Close to Bondi, Clovelly and Bronte Beaches •Excellent public transport outside my door •30 Min from airport •20 Min from city centre What's on? Snorkelling, fishing, diving, fitness classes, yoga, and great cafes. I love living here and look forward to your inquiry and hosting you while in Sydney. Sydney is well-endowed with open spaces and access to waterways, and has many natural areas,",,"No Smoking Mature No guests No parties  This is a small space that you will share with the host so a considerate, cheerful and tidy person would best suit this arrangement."
348891,Ruby's Oasis at Bondi Beach! Sunny corner studio.,Studio,$150.00,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Elevator,Washer,Dryer,""Smoke detector"",""Hair dryer"",""Self check-in"",Lockbox,""Hot water"",Microwave,Refrigerator,Oven,Stove,""Full kitchen"",""Paid parking on premises""}",2,1,1.0,4,"Sunny, breezy, top floor studio with balcony, less than 100 metres to Bondi Beach! Ever dreamed of waking up to uninterrupted sunlight gently filtering in, as you luxuriate in the hotel quality sheets on your four poster bed? Then stepping outside to find a variety of specialty cafes offering tempting breakfasts and excellent coffee, before wandering down to the beach? Spend your days at Ruby’s Oasis exploring what Bondi has to offer. The Bondi to Bronte coastal walk starts at the Bondi Icebergs, where you can also swim laps in the ocean pool, or relax in their sauna that looks out over the water.  Discover the airy yoga studios, cafes, and restaurants, boutique shops and mini galleries before sampling the delicious drinks and live music on offer at one of the many vibrant bars that open their doors at sunset. A luxury beachside lifestyle, plus easy public transport to the CBD! Featuring a sunlit balcony, this renovated  studio comes with a beautiful, four poster queen size bed, fully",,Sorry but parties are strictly forbidden. No under 30 year olds can book. No smoking inside. Smoking only outside.
352147,"Sydneys garden suburb, bright & SC",Apartment,$80.00,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Washer,Dryer}",2,1,1.0,2,"G'day!   Our studio apartment is self contained with a Queen size bed, sofa, dining table and chairs, work bench and plenty of storage space.   It is equipped with TV, Wi Fi, Air Cond, well stocked kitchen, bathroom with shower and a private entrance.  You would also have the use of our pool and we can do your washing for a small fee if need be.  We live in what is known as Sydney's Hills district and are within walking distance to Muirfield Golf Course and Westfield shopping Centre, North Rocks.  Macquarie University, one of Australia's leading universities is not far away. The studio apartment is attached to our house which overlooks Bidjigal Reserve, a place of rugged natural beauty and full of hidden treasures; a time capsule of ancient ecosystems, aboriginal shelters and colonial history with sheer sandstone cliffs, towering eucalypt forest, sparkling creeks and sheltered rainforest gullies, it is an oasis of natural habitat in the middle of urban Sydney. The reserve supports a wi",For a small fee we can organise to do your washing.,"No smoking in the flat. No pets allowed. Please always lock the front door when you leave, thanks. You can arrange to use the washing machine if need be and clothes are dried on the line in the garden.  The dryer is strictly for emergency use only. We also appreciate if you turn off electricity if you are not in the rooms."
357543,Leafy North Shore House in Trees 2,House,$121.00,"{TV,""Cable TV"",Wifi,Kitchen,""Free parking on premises"",Cat(s),Washer,Dryer}",2,1,1.0,1,"We have a beautiful and large family home in leafy East Lindfield on Sydney's North Shore with 2 lovely private B & B double bedrooms available with bathroom facilities.   Each room is comfortable for a couple or single. Not suitable for a roll-away, but we do have 2 rooms available, next to each other. Wi-fi, TV, Foxtel in house, ceiling fans in the rooms. Washing machine and dryer, refrigerator, tea and coffee facilities available for your convenience. Fantastic pool and BBQ area - great place to relax after a hard day sight-seeing or working, particularly in Summer months. Only a short walk to Lindfield Train Station and shops, or the bus to the city is just one block away (We can always drive you to the station if we are around). Chatswood is 2 trains stops away. 20 minutes to the central city by train. 20 minutes to most North-side beaches. Good run through by car to all these spots.  Easy access to North Ryde & Macquarie Uni for business travelers. A great peaceful base for touri",,"This is the home of working professionals - it is not a party house.  If you want to party, please choose another property as we have to get up early for work.  Please note, price quoted is per room  as airbnb does not have facility to list both rooms on same listing - contact me and I can alter the price to accomodate 2 room booking or book both at the same time through our other listing Leafy North Shore House in Trees 1. Please only use the pool if you can swim - children must be supervised by an adult at all times. We do have a cat, so would prefer no animals. Check-in 2pm, check-out 11am, however, we are flexible if there are not others coming in to the rooms."
360141,Massive Warehouse Loft Apartment,Apartment,$89.00,"{TV,Internet,Wifi,Kitchen,Cat(s),""Free street parking"",Washer,Dryer,""Smoke detector"",""Hair dryer"",""Hot water"",Microwave,Refrigerator,Oven,Stove}",2,1,1.0,7,"Now that Instant Book is being forced on hosts, we might not have a chance to chat before you book. Read the FULL description and look at the photos carefully. It's a big space on the first floor of an old warehouse. Downstairs is a working art studio - The Bakehouse Studio Marrickville run by Lisa Hoelzl. The guests who love our place the most are the ones who like the idea of staying in a warehouse flat on top of a studio and engaging with our odd extended household and neighbourhood. A while ago, Airbnb sent a New York photographer/artist/writer called Todd Selby around the world to stay in 5 Airbnb properties. He went to London, Paris, LA, Tokyo and....... Marrickville. Airbnb and Todd thought ours was the most interesting Airbnb property in Sydney.  A guest recently said our place was 'what Airbnb used to be like'. I know what they mean. In the beginning, Airbnb was about interesting spaces and active hosts who liked to meet guests and help make their stay interesting. Now, there",,"Now that Instant Book is being forced on hosts, we don't get a chance to talk before you make a booking. This space is NOT suitable for children of any age. The pictures show the space very well. It is a big, old space in a warehouse. Beneath the pad is a working art studio (mostly ceramics), so there are times when people are in there doing arty stuff. They like it when people come down for a chat or a glass of wine and you might like to join in and make something. I hope you will respect the apartment. It is a separate building, so you can come and go as you please. It's not a place for parties, but I don't imagine many travellers have wild parties? The backyard is for smoking. And gardening if you feel like it. If in doubt about anything, you can ask us - we live next door."
361912,Serendipity in the Suburbs,House,$80.00,"{TV,Wifi,Kitchen,""Free parking on premises"",""Pets allowed"",Dog(s),Washer,Dryer,""Smoke detector""}",2,1,1.0,1,"Welcome to Pennant Hills! One bedroom available in leafy suburban friendly family home in Sydney's northwest, 1/4 acre yard with gardens, fishponds, chickens and a black Labrador dog. Large sunny deck overlooks the back yard. Walk to shops and train (45 minutes to CBD). Free wireless internet. Breakfast included.  The entry to the Great Northern Walk (a bush walk which goes from Sydney all the way to Newcastle) is at the end of our street. Koala Park is nearby as are tennis courts. One bedroom in friendly suburban family home in Sydney's leafy northwest. Quarter acre yard with many gardens, two fishponds, chickens and a medium-sized friendly dog. Large sunny deck overlooking the backyard. Walk to shops and train (45 min. to Sydney CBD). Free wireless internet. Free use of laundry with dryer and outdoor clothesline. Minutes  to the Great Northern Walk which goes through the bush from Sydney to Newcastle. Close to Koala Park where you can see and pat many Australian native animals. Guest",,Children welcome. No smoking indoors. Pets only with approval of hosts.
363237,"1br, Parking, WiFi, Garden",Unit,$85.00,"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",Washer,""Smoke detector""}",2,1,1.0,1,"Newly renovated, fresh and clean art deco apartment with own courtyard. Available September 2nd to October 31st for maximum two people at $595.00 per week. Large eclectic and cosy open plan one bedroom furnished apartment in an Art Deco building in Summer Hill. Tastefully furnished, floorboards throughout, 3 metre high ceilings and two huge built in  wardrobes. Queen size bed. Dining area. The apartment includes a delightful, furnished and established garden at your disposal. Kitchen is generously equipped including microwave, gas stove and oven, fridge, crockery, cooking utensils and glassware. Without dishwasher. Bathroom includes bathtub and shower. All in fresh and clean condition. Internal laundry without dryer. Cleaning products and washing powder provided. Basic toiletries - soap, toothpaste, shampoo and conditioner provided. Tea and Coffee. Iron. Vacuum cleaner. Umbrella. Access to outdoor clothesline. Linen and bath towels provided. Hair dryer. Gas heater. TV. WiFi. Secure car",,Please keep the premises clean and aired.  If you'll be using our secure car park ensure you close the electric gate after entering or exiting the car park.
363282,Lux pad in Potts Point,Unit,$250.00,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Gym,Elevator,Washer,Dryer,""Smoke detector"",""Hair dryer"",""Hot water"",Refrigerator,Dishwasher,Oven,Stove}",3,1,1.0,1,"A luxurious apartment in the Parisian heart of Sydney. Potts Point boasts the best restaurants and cafes in Sydney. Kings cross train station is a 5 minute walk to anywhere you want to go. The apartment is a short walk to the opera house and the water front on Elizabeth Bay and beautiful Rushcutters park, a great spot for running and tennis. Elizabeth bay is 100 metres around the corner with its beautiful park and tennis courts. The apartment itself is highly sought after. It has a heated pool, sauna and a fully equipped gym. There is central heating or cooling in the apartment and it is very modern. There is also a blow up mattress to accomodate an extra person. The apartment is sound proofed and very quiet. Free high speed wifi available in apartment. Local phone calls can be made on my landline. Cable TV , DVD and a BOSE soundtouch to play your own music via bluetooth or Spotify  are available plus plenty of books for your perusal while you relax over a glass of wine, watching the c","There are a couple of beautiful parks just around the corner, Elizabeth Bay and Rushcutters park....","No smoking ,pets or parties please. Apartment to be kept clean and to be considerate with noise levels. Please water my indoor pot plants once a week on Mondays. Please throw rubbish in the rubbish room on the same floor regularly. A no shoes indoors policy also applies as the apartment is carpeted. Please do not make a booking until I have confirmed it and also, I will lease my apartment out to those who have photo verifications and good reviews etc. In addition, no downloading of movies or big files on my wifi account as it takes up my quota for the month and slows the speed down immensely for my other guests.  My home should be treated like it was your home as its not a hotel. Concierge services are meant for residents of the building only as per the strata rules. Thank you."
365806,Cremorne B&B great quiet central!,House,$89.00,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Dog(s),Cat(s),""Free street parking"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Hair dryer"",""Game console"",""Hot water""}",2,1,1.0,1,"Welcome to the stunning area of Cremorne and thank you for checking this listing!  Stay with some real Sydney siders in my modern family home ideally located in a quiet street just 4 km from Sydney city centre!  This home is a fantastic base for a Sydney holiday, business, travel or study. The house:  Come stay and enjoy one of our two elegantly decorated guest rooms. The house boasts the luxury of having 2 bathrooms. It has a lovely open plan kitchen and living area that leads to the outdoor dining/ BBQ area, level garden and veranda. My guest rooms have twin beds and can accommodate singles, two friends, couples or family groups.  Wireless internet is available and there is plenty of free street parking. Looking for something unique? You can have breakfast with the cockatoos whilst gazing over the leafy vista of the Cremorne valley! The area:  Enjoy a short walk to village shop of Cremorne where there is cinema complex, Asian and European restaurants, McDonalds, supermarket, and plen",About your Host:  I have three very friendly small cross poodle dogs and a cat who make everyone welcome. I have hosted travelers and international students in my home for more than ten years and enjoy welcoming people to Sydney.,"No smoking on the property, this is a shared home with normal consideration and respect for other guest or residents is requested.  For safety no unregistered guests allowed to visit. Kitchen is available to guests for heating and light meals only. If you have any question or special requests please ask."
365953,En suite room in gorgeous house!,Apartment,$144.00,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",Dog(s),""Hot tub"",Washer,Dryer,""Smoke detector""}",2,1,1.0,5,"Gorgeous double bedroom with your own private en suite bathroom in my stunning townhouse.  Modern, bright, quiet and  comfortable with built in wardrobes and cable TV. 13 minutes from CBD with  bus stop a 2 minute walk  at the end of the  road! Fully furnished spacious, comfortable and quiet double bedroom in my stunning mosman townhouse. En suite,built in robes, ipod docking, tv with foxtel and only 13 minutes to the CBD on the bus at the end of the street!! Coffee, tea and basic provisions will all be provided along with clean linen and towels. I am a keen cook and happy for you to dine with me or cook for yourself. Washing machine and dryer available. Access to lounge and foxtel tv/wifi etc Whilst i live here I am in the travel industry and travel frequently so you could end up having the place to yourself(my neighbour will greet you!) Mosman is a lovely  location with a beautiful village, beach (Balmoral) and fantastic  harbour/bush walks. Loads of great restaurants and bars all wi",,No smoking and no access to office.
366856,Bondi Studio - FAB DECOR AND STYLE,Studio,$134.00,"{TV,Wifi,""Air conditioning"",Kitchen,Elevator,Washer,Dryer,""Smoke detector"",""Hair dryer"",""Self check-in"",Lockbox,""Hot water"",Microwave,Refrigerator,Oven,Stove,""Paid parking on premises""}",2,1,1.0,2,Our fabulous  Studio provides a beautiful space for your Bondi/Sydney stay.  Stroll to beach with public transport outside your door to major shopping centres.  Many cafe and restaurants.  Suitable for 2 adults + (one child) Short & Medium Term Rentals.  Excellent Monthly rate Our fabulous  Studio provides a beautiful space for your Bondi/Sydney stay.  Stroll to beach with public transport outside your door to major shopping centres. Short & Medium Term Rentals. WE OFFER WEEKLY AND MONTHLY RATES ON REQUEST Includes: - whitewash bamboo floors - balcony - enjoy an Australian wine on the balcony after your day at the beach. - Italian queen wall bed and ottoman that turns into single (suitable for child) - Pool on roof with 360 degree view of Bondi beach and Sydney harbour - Plasma TV & DVD - IPod stereo & sound system  - fully equipped kitchen with new fridge and stove - airconditioning - onsite laundry  Situated amongst the some of the best restaurants and wine bars Sydney has to offer.,please do not smoke in studio.   WE PROVIDE COMPLIMENTARY INTERNET. Please note we do not take responsibility for any internet outage that is out of our control.,ENJOY YOUR STAY. No extra guests allowed in studio  THERE IS A $100 charge for the loss of swipe and key Please keep noise to a minimum after 10pm
